,supplier_name,sku,name,cloudstoreUrl,description,extra_comments,extra_open_data_level,
1,Astun Technology Ltd,3.G3.036.001,Astun Data Services,http://govstore.service.gov.uk/cloudstore/astun-data-services,"Astun Data Services provide a range of geographic data as web services for consumption as base mapping within web mapping and desktop GIS applications. 
The use of Astun Data Services provides a cost effective and resource free alternative to translating, storing, updating and serving base mapping data to internal and public users.
Map data services available include:
Ordnance Survey Premium Data (MasterMap, VectorMap Local, Meridian and Strategi)
Ordnance Survey OpenData (VectorMap District, Meridian and Strategi)
OpenStreetMap (GB coverage in British National Grid)
Map data is available in British National Grid (BNG) as an Open Geospatial Consortium Web Map Service (OGC WMS) or as Tile Service with 15 levels of zoom
OpenData services include
Edubase
NHS Choices
Local Government Boundaries and Electoral Boundaries (BoundaryLine) enhanced with data from OpenlyLocal and UKWhip
Neighbourhood Crime incident data from police.uk aggregated to neighbourhood boundaries
OpenData feeds are syndicated and served as an Open Geospatial Consortium Web Feature Service (OGC WFS)","- This service provides geographic data as web services. Among the geographic data they ""proxy"" are open data sources such as the Ordnance Survey open data products. I would not say this makes them an actual open data service.",1,1
2,Atos IT Services UK Ltd,3.G3.039.012,Atos Architecture Consulting,http://govstore.service.gov.uk/cloudstore/atos-architecture-consulting,"Global connectivity has fundamentally changed the way in which IT serves business and government needs. We see organisations that are increasing the elasticity of service offerings. Demand for greater agility in decision making, increased commoditization, consumerisation wider application of IT shared services, increased exploitation of Web2.0 services and more open innovation and collaboration models demands new approaches to IT governance and architecture to effectively balance exploitation of benefits with IT complexity.  The five Atos IT Architecture offerings are listed below:-
	IT Operating Model Assessment
	Enterprise Architecture Assessment
	Design Authority Strategy and Roadmap
	Application Rationalisation Opportunity Assessment
	Infrastructure Rationalisation Strategy
Further detail is provided in each of the individual service definitions.
Keywords: IL3, IL2, IL1, IL1/2, IL0, Oracle Fusion Middleware, Mediator, BPM, BPEL, BAM and ADF, Service Orientated Architecture Delivery, SOA,SSB,Shared Service Bus,SOA, Service Orientated Architecture,ESB,Enterprise Service Bus,Enterprise, Platform,Red Hat,JBoss,Interface, Orchestration, Synchronous, Asynchronous, Application, Development, Message / Messaging, Schema, Secure, Reliable, Routing, Transformation, Standards, Authentication, Authorisation, Encryption, Queuing, Persisting, XML / CSV, Cloud, IaaS / Infrastructure, Automated / Repeatable builds, Systems integration, Integration testing, Common Data Platform, Business managed rule, Common identity, Management information, Business intelligence, Logical data model, Single repository, Database, Oracle, RDBMS, MDM, Master Data Management / Manager, Informatica, Mastered data, Document management system, content management system, Data warehouse, Transactional database, Fine-grained audit, Data loads, Master records, workflow, backlog, Perform, multiple role skill combinations, enablement, collaboration, identity, information assurance, biographic, business change, enablement, migration, cloud, Software as a service SaaS, scalability, flexibility, open source, open standards, small to medium enterprise SME, subject matter expert SME, agile, big data, business, social, mobile, web, message queue service, managed relational database, mySQL, 
SQL server, managed search service, workflow, message queue service, web-based user interface, identity and access management, monitoring, container, orchestration, data-driven, web, mobile, social, content, document, Design, Build, Integration, data analytics, , data warehousing, accredited, impact level, open data, shared services, shared infrastructure, ITIL, optimised, architecture, casework, enterprise, knowledge and information management, design patterns, standards, models and principles, business services, open architecture, re-use, Application Programme Interface, API, Fuse / FuseSource, Open source, open-source, 
ETL, Extract Transform Load, Business Objects, Oracle Golden Gate, Oracle Weblogic, Oracle Fusion Middleware, Oracle label security, DB  vault","- ""open data"" is named in a list of keywords at the end of the service description, but the service is not specifically about open data",0,
3,Atos IT Services UK Ltd,3.G3.039.018,Atos Cloud Professional Services Application Management,http://govstore.service.gov.uk/cloudstore/atos-cloud-professional-services-application-management,"Atos Professional Services to support Application Management and how Right-Fit AM addresses client requirements
Supported by:
Java solutions, including but not limited to: Hibernate; J2EE; JSP
Microsoft solutions, including but not limited to; .NET; ASP; Sharepoint; SQL Server; Visual BAsic
Oracle solutions, including but not limited to:Apex; Business Intelligence; E-Business Suite; E-Commerce; Forms; Fusion; Hyperion; PeopleSoft; PL/SQL; Siebel; TOAD
Product Lifecycle Management solutions, including but not limited to: SAP; Siemens PLM Software; Integrated PLM-ERP-MES environments.
SAP solutions, including but not limited to: ABAP; Business Intelligence; Business Warehouse; BusinessObjects 
Additional technology competencies, including but not limited to: CICS; COBOL; C++;  Crystal Reports; DB2; EMC Documentum; HTML; Informix; Ingres; MySQL; PHP; SAS; SQL *Plus; UML; Wily; XML
Keywords: IL3, IL2, IL1, IL1/2, IL0, Oracle Fusion Middleware, Mediator, BPM, BPEL, BAM and ADF, Service Orientated Architecture Delivery, SOA,SSB,Shared Service Bus,SOA, Service Orientated Architecture,ESB,Enterprise Service Bus,Enterprise, Platform,Red Hat,JBoss,Interface, Orchestration, Synchronous, Asynchronous, Application, Development, Message / Messaging, Schema, Secure, Reliable, Routing, Transformation, Standards, Authentication, Authorisation, Encryption, Queuing, Persisting, XML / CSV, Cloud, IaaS / Infrastructure, Automated / Repeatable builds, Systems integration, Integration testing, Common Data Platform, Business managed rule, Common identity, Management information, Business intelligence, Logical data model, Single repository, Database, Oracle, RDBMS, MDM, Master Data Management / Manager, Informatica, Mastered data, Document management system, content management system, Data warehouse, Transactional database, Fine-grained audit, Data loads, Master records, workflow, backlog, Perform, multiple role skill combinations, enablement, collaboration, identity, information assurance, biographic, business change, enablement, migration, cloud, Software as a service SaaS, scalability, flexibility, open source, open standards, small to medium enterprise SME, subject matter expert SME, agile, big data, business, social, mobile, web, message queue service, managed relational database, mySQL, 
SQL server, managed search service, workflow, message queue service, web-based user interface, identity and access management, monitoring, container, orchestration, data-driven, web, mobile, social, content, document, Design, Build, Integration, data analytics, , data warehousing, accredited, impact level, open data, shared services, shared infrastructure, ITIL, optimised, architecture, casework, enterprise, knowledge and information management, design patterns, standards, models and principles, business services, open architecture, re-use, Application Programme Interface, API, Fuse / FuseSource, Open source, open-source, 
ETL, Extract Transform Load, Business Objects, Oracle Golden Gate, Oracle Weblogic, Oracle Fusion Middleware, Oracle label security, DB  vault","- ""open data"" is named in a list of keywords at the end of the service description, but the service is not specifically about open data",0,
4,Atos IT Services UK Ltd,3.G3.039.005,Atos Cloud Professional Services Program Management,http://govstore.service.gov.uk/cloudstore/atos-cloud-professional-services-program-management,"Atos Cloud Professional Services are designed to provide clients with the additional skills they need for Programme, Project, Transition, Requirements and Testing Management.
As part of these services Atos offer the Programme & Project Management Services. These include programme & project management as well as programme/project office services.
Supported by:
	Methodologies: PRINCE2, MSP, Agile, Waterfall, BPM, SOA, TOGAF, ITIL
	Resources:
o	Atos CLAS Consultants
o	Enterprise Architects
o	Business Process Experts
o	Project Managers
o	Solution Architects
o	Technical Architects
o	Agile - SCRUM Masters
Atos also offers an Enterprise Program Management as a Service offering, based on Microsoft Project Server and SharePoint Server. Optional service modules are offered by Atos to enhance the functionality and customer enterprise integration. Atos EPM solution, gives the customer a flexible, integrated program and project management solution with enhancement like interfaces to ERP solutions or other line of business systems.
Service Availability 98.5%
Pricing å£2,458 per instance plus å£26 per user
All prices are for services provided in Europe. They are expressed without tax on a monthly basis. Prices are valid for a minimum of 50 users: a surcharge may apply for smaller volumes.
Discounted prices are available for customers who bring their own license through Microsoft's license mobility program.
Keywords: IL3, IL2, IL1, IL1/2, IL0, Oracle Fusion Middleware, Mediator, BPM, BPEL, BAM and ADF, Service Orientated Architecture Delivery, SOA,SSB,Shared Service Bus,SOA, Service Orientated Architecture,ESB,Enterprise Service Bus,Enterprise, Platform,Red Hat,JBoss,Interface, Orchestration, Synchronous, Asynchronous, Application, Development, Message / Messaging, Schema, Secure, Reliable, Routing, Transformation, Standards, Authentication, Authorisation, Encryption, Queuing, Persisting, XML / CSV, Cloud, IaaS / Infrastructure, Automated / Repeatable builds, Systems integration, Integration testing, Common Data Platform, Business managed rule, Common identity, Management information, Business intelligence, Logical data model, Single repository, Database, Oracle, RDBMS, MDM, Master Data Management / Manager, Informatica, Mastered data, Document management system, content management system, Data warehouse, Transactional database, Fine-grained audit, Data loads, Master records, workflow, backlog, Perform, multiple role skill combinations, enablement, collaboration, identity, information assurance, biographic, business change, enablement, migration, cloud, Software as a service SaaS, scalability, flexibility, open source, open standards, small to medium enterprise SME, subject matter expert SME, agile, big data, business, social, mobile, web, message queue service, managed relational database, mySQL, 
SQL server, managed search service, workflow, message queue service, web-based user interface, identity and access management, monitoring, container, orchestration, data-driven, web, mobile, social, content, document, Design, Build, Integration, data analytics, , data warehousing, accredited, impact level, open data, shared services, shared infrastructure, ITIL, optimised, architecture, casework, enterprise, knowledge and information management, design patterns, standards, models and principles, business services, open architecture, re-use, Application Programme Interface, API, Fuse / FuseSource, Open source, open-source, 
ETL, Extract Transform Load, Business Objects, Oracle Golden Gate, Oracle Weblogic, Oracle Fusion Middleware, Oracle label security, DB  vault","- ""open data"" is named in a list of keywords at the end of the service description, but the service is not specifically about open data",0,
5,Atos IT Services UK Ltd,3.G3.039.015,Atos Cloud Professional Services Solution Design,http://govstore.service.gov.uk/cloudstore/atos-cloud-professional-services-solution-design,"Atos Cloud Professional Services Solution Design services cover Architecture and Design, Requirements and Specification and User Experience. Our approach to Solution Design for Cloud is based on an understanding of the overall business strategy and requirements and what Cloud can provide for our customers in terms of: 
	Use of standard building blocks, with configuration and customisation kept to the minimum
	Large upfront investment is avoided, with services paid for as they are used
	Hosted solutions, reducing the need to fit in with complex legacy infrastructure
	Emphasis on common standards
The Atos approach to Requirements Management supports collaborative working that takes a business centric approach to engage stakeholders and establishes an assured foundation for system delivery. The Atos Requirements Management service provides a service based on CMMi (RD and REQM) standard processes with defined roles and responsibilities, supported by pre-defined product deliverables, stage gate checkpoints and a central Requirements Management tool with forward and backwards traceability.
Our User Experience teams have been involved with delivering projects for the BBC, London 2012, along with many other commercial websites including our own services - RedSpottedHanky.com and FuelGenie.com
Keywords: IL3, IL2, IL1, IL1/2, IL0, Oracle Fusion Middleware, Mediator, BPM, BPEL, BAM and ADF, Service Orientated Architecture Delivery, SOA,SSB,Shared Service Bus,SOA, Service Orientated Architecture,ESB,Enterprise Service Bus,Enterprise, Platform,Red Hat,JBoss,Interface, Orchestration, Synchronous, Asynchronous, Application, Development, Message / Messaging, Schema, Secure, Reliable, Routing, Transformation, Standards, Authentication, Authorisation, Encryption, Queuing, Persisting, XML / CSV, Cloud, IaaS / Infrastructure, Automated / Repeatable builds, Systems integration, Integration testing, Common Data Platform, Business managed rule, Common identity, Management information, Business intelligence, Logical data model, Single repository, Database, Oracle, RDBMS, MDM, Master Data Management / Manager, Informatica, Mastered data, Document management system, content management system, Data warehouse, Transactional database, Fine-grained audit, Data loads, Master records, workflow, backlog, Perform, multiple role skill combinations, enablement, collaboration, identity, information assurance, biographic, business change, enablement, migration, cloud, Software as a service SaaS, scalability, flexibility, open source, open standards, small to medium enterprise SME, subject matter expert SME, agile, big data, business, social, mobile, web, message queue service, managed relational database, mySQL, 
SQL server, managed search service, workflow, message queue service, web-based user interface, identity and access management, monitoring, container, orchestration, data-driven, web, mobile, social, content, document, Design, Build, Integration, data analytics, , data warehousing, accredited, impact level, open data, shared services, shared infrastructure, ITIL, optimised, architecture, casework, enterprise, knowledge and information management, design patterns, standards, models and principles, business services, open architecture, re-use, Application Programme Interface, API, Fuse / FuseSource, Open source, open-source, 
ETL, Extract Transform Load, Business Objects, Oracle Golden Gate, Oracle Weblogic, Oracle Fusion Middleware, Oracle label security, DB  vault","- ""open data"" is named in a list of keywords at the end of the service description, but the service is not specifically about open data",0,
6,Atos IT Services UK Ltd,3.G3.039.003,Atos Cloud Professional Services Solution Development,http://govstore.service.gov.uk/cloudstore/atos-cloud-professional-services-solution-development,"Cloud Professional Services are designed to provide clients with the additional skills they need for Programme, Project, Transition, Requirements and Testing Management.
As part of these Atos Software Solution Development Services; includes Cloud, Agile, Mobile, Traditional development including unit test, Proof of Concept and Pilot services.
Supported by:
	Methodologies: PRINCE2, MSP, Agile, Waterfall, BPM, SOA, TOGAF, ITIL
	Cloud Proof of Concept & Pilot G-Cloud offers.
	Development & Runtime Platforms
o	.Net
o	Azure
o	Java, J2EE, JEE5
o	Open Source
o	SAP NetWeaver
o	Oracle Fusion
o	PHP
o	Mobile platform based on SAP Mobility / Sybase Unwired Platform
o	Business Process Management
o	Business Rules
o	Dynamic Case Management
o	Big Data Analytics
	Resources:
o	Atos CLAS Consultants
o	Enterprise Architects
o	Business Process Experts
o	Project Managers
o	Solution Architects
o	Technical Architects
o	Integration Architects
o	Agile - SCRUM Masters
o	Mobile developers
o	User Experience (UXD) Designers
Keywords: IL3, IL2, IL1, IL1/2, IL0, Oracle Fusion Middleware, Mediator, BPM, BPEL, BAM and ADF, Service Orientated Architecture Delivery, SOA,SSB,Shared Service Bus,SOA, Service Orientated Architecture,ESB,Enterprise Service Bus,Enterprise, Platform,Red Hat,JBoss,Interface, Orchestration, Synchronous, Asynchronous, Application, Development, Message / Messaging, Schema, Secure, Reliable, Routing, Transformation, Standards, Authentication, Authorisation, Encryption, Queuing, Persisting, XML / CSV, Cloud, IaaS / Infrastructure, Automated / Repeatable builds, Systems integration, Integration testing, Common Data Platform, Business managed rule, Common identity, Management information, Business intelligence, Logical data model, Single repository, Database, Oracle, RDBMS, MDM, Master Data Management / Manager, Informatica, Mastered data, Document management system, content management system, Data warehouse, Transactional database, Fine-grained audit, Data loads, Master records, workflow, backlog, Perform, multiple role skill combinations, enablement, collaboration, identity, information assurance, biographic, business change, enablement, migration, cloud, Software as a service SaaS, scalability, flexibility, open source, open standards, small to medium enterprise SME, subject matter expert SME, agile, big data, business, social, mobile, web, message queue service, managed relational database, mySQL, 
SQL server, managed search service, workflow, message queue service, web-based user interface, identity and access management, monitoring, container, orchestration, data-driven, web, mobile, social, content, document, Design, Build, Integration, data analytics, , data warehousing, accredited, impact level, open data, shared services, shared infrastructure, ITIL, optimised, architecture, casework, enterprise, knowledge and information management, design patterns, standards, models and principles, business services, open architecture, re-use, Application Programme Interface, API, Fuse / FuseSource, Open source, open-source, 
ETL, Extract Transform Load, Business Objects, Oracle Golden Gate, Oracle Weblogic, Oracle Fusion Middleware, Oracle label security, DB  vault","- ""open data"" is named in a list of keywords at the end of the service description, but the service is not specifically about open data",0,
7,Atos IT Services UK Ltd,3.G3.039.004,Atos Cloud Professional Services Testing,http://govstore.service.gov.uk/cloudstore/atos-cloud-professional-services-testing,"Cloud Professional Services are designed to provide clients with the additional skills they need for Programme, Project, Transition, Requirements and Testing Management.
As part of this Atos offer the Atos Testing Services.
When you engage with Atos Testing Services , you buy into a robust, industrial and sustainable approach to Testing and Acceptance Management.
Atos has clients who after asking us to perform tests for a single project have subsequently embedded our services in all application and process change management activity: the wider the adoption, the better the return.
Atos Testing Services; includes integration, system, user acceptance, performance, usability testing plus test management, strategy and planning.
Supported by:
	Methodologies: PRINCE2, MSP, Agile, Waterfall, ITIL
	Cloud Proof of Concept & Pilot G-Cloud offers to validate your applications
	Leading Testing Tools
	Resources:
o	Atos CLAS Consultants
o	Testing consultants
o	Atos has developed extensive toolkits of test scripts for public bodies, allowing up to 80% automation.
Keywords: IL3, IL2, IL1, IL1/2, IL0, Oracle Fusion Middleware, Mediator, BPM, BPEL, BAM and ADF, Service Orientated Architecture Delivery, SOA,SSB,Shared Service Bus,SOA, Service Orientated Architecture,ESB,Enterprise Service Bus,Enterprise, Platform,Red Hat,JBoss,Interface, Orchestration, Synchronous, Asynchronous, Application, Development, Message / Messaging, Schema, Secure, Reliable, Routing, Transformation, Standards, Authentication, Authorisation, Encryption, Queuing, Persisting, XML / CSV, Cloud, IaaS / Infrastructure, Automated / Repeatable builds, Systems integration, Integration testing, Common Data Platform, Business managed rule, Common identity, Management information, Business intelligence, Logical data model, Single repository, Database, Oracle, RDBMS, MDM, Master Data Management / Manager, Informatica, Mastered data, Document management system, content management system, Data warehouse, Transactional database, Fine-grained audit, Data loads, Master records, workflow, backlog, Perform, multiple role skill combinations, enablement, collaboration, identity, information assurance, biographic, business change, enablement, migration, cloud, Software as a service SaaS, scalability, flexibility, open source, open standards, small to medium enterprise SME, subject matter expert SME, agile, big data, business, social, mobile, web, message queue service, managed relational database, mySQL, 
SQL server, managed search service, workflow, message queue service, web-based user interface, identity and access management, monitoring, container, orchestration, data-driven, web, mobile, social, content, document, Design, Build, Integration, data analytics, , data warehousing, accredited, impact level, open data, shared services, shared infrastructure, ITIL, optimised, architecture, casework, enterprise, knowledge and information management, design patterns, standards, models and principles, business services, open architecture, re-use, Application Programme Interface, API, Fuse / FuseSource, Open source, open-source, 
ETL, Extract Transform Load, Business Objects, Oracle Golden Gate, Oracle Weblogic, Oracle Fusion Middleware, Oracle label security, DB  vault","- ""open data"" is named in a list of keywords at the end of the service description, but the service is not specifically about open data",0,
8,Atos IT Services UK Ltd,3.G3.039.010,Atos Emerging Business Technology Consulting,http://govstore.service.gov.uk/cloudstore/atos-emerging-business-technology-consulting,"The speed of change in the technology landscape is rapid, meaning that organisations cannot stand still. The Atos approach to Emerging Business Technology helps our clients use technology to rapidly advance in todays complex, post digital world.  Our Emerging Business Technology offerings are listed below:-
	Emerging Business Technology Workshop 
	Technology Strategy Review & Roadmap
	Channel Optimisation and Channel Shift
	Cloud Awareness Workshop 
	Cloud Opportunity Assessment
	Social Network Policy Development
Further detail is provided in each of the individual service definitions
Keywords: IL3, IL2, IL1, IL1/2, IL0, Oracle Fusion Middleware, Mediator, BPM, BPEL, BAM and ADF, Service Orientated Architecture Delivery, SOA,SSB,Shared Service Bus,SOA, Service Orientated Architecture,ESB,Enterprise Service Bus,Enterprise, Platform,Red Hat,JBoss,Interface, Orchestration, Synchronous, Asynchronous, Application, Development, Message / Messaging, Schema, Secure, Reliable, Routing, Transformation, Standards, Authentication, Authorisation, Encryption, Queuing, Persisting, XML / CSV, Cloud, IaaS / Infrastructure, Automated / Repeatable builds, Systems integration, Integration testing, Common Data Platform, Business managed rule, Common identity, Management information, Business intelligence, Logical data model, Single repository, Database, Oracle, RDBMS, MDM, Master Data Management / Manager, Informatica, Mastered data, Document management system, content management system, Data warehouse, Transactional database, Fine-grained audit, Data loads, Master records, workflow, backlog, Perform, multiple role skill combinations, enablement, collaboration, identity, information assurance, biographic, business change, enablement, migration, cloud, Software as a service SaaS, scalability, flexibility, open source, open standards, small to medium enterprise SME, subject matter expert SME, agile, big data, business, social, mobile, web, message queue service, managed relational database, mySQL, 
SQL server, managed search service, workflow, message queue service, web-based user interface, identity and access management, monitoring, container, orchestration, data-driven, web, mobile, social, content, document, Design, Build, Integration, data analytics, , data warehousing, accredited, impact level, open data, shared services, shared infrastructure, ITIL, optimised, architecture, casework, enterprise, knowledge and information management, design patterns, standards, models and principles, business services, open architecture, re-use, Application Programme Interface, API, Fuse / FuseSource, Open source, open-source, 
ETL, Extract Transform Load, Business Objects, Oracle Golden Gate, Oracle Weblogic, Oracle Fusion Middleware, Oracle label security, DB  vault","- ""open data"" is named in a list of keywords at the end of the service description, but the service is not specifically about open data",0,
9,Atos IT Services UK Ltd,3.G3.039.016,Atos Extreme Performance Cloud PaaS,http://govstore.service.gov.uk/cloudstore/atos-extreme-performance-cloud-paas,"EPC provides the management and hosting of appliances within the Oracle Engineered System portfolio. IL0 Service and pricing is currently available for Atos Database Services - Oracle on Exadata which is located in mainland Europe. Additional services such as Atos Business Analytics, Oracle on Exalytics and Atos Server Management, Oracle on Exalogic are available on request from Atos. There will be both IL0 and IL3 services available in 2013 (pending G-Cloud accreditation).
The objective of Atos Database Services - Oracle on Exadata is to provide a client with a dedicated managed operational environment for Oracle databases and to ensure that committed service levels are met. Oracle Exadata is a preconfigured Oracle Database machine including:
	Database servers within the Oracle Database Machine;
	Storage servers (including SAS/SATA/Flash Disk Storage) within the Oracle Database Machine;
	InfiniBand Network between the database servers and storage servers within the Oracle Database Machine;
	Oracle GRID infrastructure.
Atos provides maintenance of the Exadata appliance and manages the databases hosted on the platform.
Appropriate network connections can be made to allow both citizen/customer access, and civil servant/staff access, to the services.
Important characteristics:
Location Choice - Mainland Europe or UK based:
EPC allows the decision of where the hosting is located, either mainland Europe @ IL0 or data can be held and processed within UK ListX data centres to meet key UK security requirements (ie IL3). 
Data is not sent or held off-shore
Processing is not carried out off-shore
Secure:  Environments will be certified to the appropriate UK impact level and the option for data and device retention is available
Cleared: Operations staff can be UK Security cleared (if required)
Automated:  Atos manages the infrastructure with a very high level of software tooling, including remote monitoring and automatic alerting
Atos manages the EPC environments in accordance to ISO 9001 and ISO 27001 standards.
Atos believes this enables delivery at UK CESG Impact Levels 0, 1, 2 and 3.
Customers have a choice of appliance capacity sizes to ensure that the footprint meets their needs.
Keywords:
Exadata Oracle Database Extreme Performance High Availability Disaster recovery Back-up Appliance Engineered System Infiniband PaaS DBaaS Data Warehouse Big Data BIGDATA ETL Extract Transform Load
Exalogic Oracle Application Middleware WebLogic Coherence Tuxedo Linux Solaris Java PaaS FUSION
Exalytics Oracle OLAP TimesTen In-Memory database Business Intelligence Hyperion BIaaS OBIEE
IL3, IL2, IL1, IL1/2, IL0, Oracle Fusion Middleware, Mediator, BPM, BPEL, BAM and ADF, Service Orientated Architecture Delivery, SOA,SSB,Shared Service Bus,SOA, Service Orientated Architecture,ESB,Enterprise Service Bus,Enterprise, Platform,Red Hat,JBoss,Interface, Orchestration, Synchronous, Asynchronous, Application, Development, Message / Messaging, Schema, Secure, Reliable, Routing, Transformation, Standards, Authentication, Authorisation, Encryption, Queuing, Persisting, XML / CSV, Cloud, IaaS / Infrastructure, Automated / Repeatable builds, Systems integration, Integration testing, Common Data Platform, Business managed rule, Common identity, Management information, Business intelligence, Logical data model, Single repository, Database, Oracle, RDBMS, MDM, Master Data Management / Manager, Informatica, Mastered data, Document management system, content management system, Data warehouse, Transactional database, Fine-grained audit, Data loads, Master records, workflow, backlog, Perform, multiple role skill combinations, enablement, collaboration, identity, information assurance, biographic, business change, enablement, migration, cloud, Software as a service SaaS, scalability, flexibility, open source, open standards, small to medium enterprise SME, subject matter expert SME, agile, big data, business, social, mobile, web, message queue service, managed relational database, mySQL, 
SQL server, managed search service, workflow, message queue service, web-based user interface, identity and access management, monitoring, container, orchestration, data-driven, web, mobile, social, content, document, Design, Build, Integration, data analytics, , data warehousing, accredited, impact level, open data, shared services, shared infrastructure, ITIL, optimised, architecture, casework, enterprise, knowledge and information management, design patterns, standards, models and principles, business services, open architecture, re-use, Application Programme Interface, API","- ""open data"" is named in a list of keywords at the end of the service description, but the service is not specifically about open data",0,
10,Atos IT Services UK Ltd,3.G2.039.003,Atos IL3+ Secure Hosting PaaS,http://govstore.service.gov.uk/cloudstore/atos-il3-secure-hosting-paas,"Atos Assured Cloud Infrastructure provides secure computer processing, storage and backup services in a flexible way. 
Appropriate network connections are made that allows both citizen / customer access, and civil servant / staff access, to the services.
UK based: Data is held and processed within the UK in UK ListX data centres meeting UK requirements. 
-	Data is not sent or held off-shore
-	Processing is not carried out off-shore
Secure:  Environments are certified to the appropriate UK impact level
Cleared: Operations staff are UK Security cleared
Automated:  Atos manages the entire infrastructure with a very high level of software tooling, including remote monitoring and automatic alerting
Flexible service options:  as described in the appendices, Atos offers a very flexible set of service options, to allow customers to select the combination that is most cost effective
Keywords: IL3, IL2, IL1, IL1/2, IL0, Oracle Fusion Middleware, Mediator, BPM, BPEL, BAM and ADF, Service Orientated Architecture Delivery, SOA,SSB,Shared Service Bus,SOA, Service Orientated Architecture,ESB,Enterprise Service Bus,Enterprise, Platform,Red Hat,JBoss,Interface, Orchestration, Synchronous, Asynchronous, Application, Development, Message / Messaging, Schema, Secure, Reliable, Routing, Transformation, Standards, Authentication, Authorisation, Encryption, Queuing, Persisting, XML / CSV, Cloud, IaaS / Infrastructure, Automated / Repeatable builds, Systems integration, Integration testing, Common Data Platform, Business managed rule, Common identity, Management information, Business intelligence, Logical data model, Single repository, Database, Oracle, RDBMS, MDM, Master Data Management / Manager, Informatica, Mastered data, Document management system, content management system, Data warehouse, Transactional database, Fine-grained audit, Data loads, Master records, workflow, backlog, Perform, multiple role skill combinations, enablement, collaboration, identity, information assurance, biographic, business change, enablement, migration, cloud, Software as a service SaaS, scalability, flexibility, open source, open standards, small to medium enterprise SME, subject matter expert SME, agile, big data, business, social, mobile, web, message queue service, managed relational database, mySQL, 
SQL server, managed search service, workflow, message queue service, web-based user interface, identity and access management, monitoring, container, orchestration, data-driven, web, mobile, social, content, document, Design, Build, Integration, data analytics, , data warehousing, accredited, impact level, open data, shared services, shared infrastructure, ITIL, optimised, architecture, casework, enterprise, knowledge and information management, design patterns, standards, models and principles, business services, open architecture, re-use, Application Programme Interface, API","- ""open data"" is named in a list of keywords at the end of the service description, but the service is not specifically about open data",0,
